@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {chainsaw,Axe,not}

@DATA
0.328779,0.065068,3.289950,0.332993,0.211582,2.672342,0.000797,0.607799,-22.568074,-0.248494,0.374903,-0.285668,-0.161941,0.323666,0.023049,0.173065,0.213414,-0.273125,0.050497,-0.131947,-0.084440,0.004000,0.003339,0.004096,0.003010,0.003928,0.001724,0.002767,0.001378,0.002091,0.002341,0.003324,0.002879,0.001918,0.000138,0.000182,0.000214,0.000098,0.000039,0.000117,0.000004,0.000014,0.004794,0.000973,-0.001197,0.001280,0.001406,-0.000833,0.000446,0.001822,-0.000218,-0.002555,-0.001873,0.002079,0.001245,0.000005,0.000008,0.000019,0.000014,0.000015,-0.000003,0.000016,0.000000,-0.000006,-0.000009,0.000015,-0.000001,0.000006,0.020247,0.018883,0.021001,0.010219,0.003410,0.058899,0.000082,0.015191,0.517613,0.210171,0.146114,0.176405,0.169877,0.167629,0.161228,0.151992,0.146841,0.163749,0.158612,0.172904,0.139923,0.002139,0.001882,0.002628,0.001610,0.001877,0.001100,0.001224,0.000809,0.001157,0.001240,0.002019,0.001665,0.000711,0.019813,0.008610,0.025297,0.009526,0.004208,0.056888,0.000097,0.015769,0.309796,0.217756,0.165972,0.197105,0.182604,0.193966,0.198861,0.171344,0.158447,0.179031,0.182177,0.191883,0.176269,0.002574,0.002623,0.003266,0.002021,0.002231,0.001379,0.001367,0.001171,0.001471,0.001577,0.002028,0.001945,0.000854,chainsaw
0.062295,0.142104,3.185668,0.144526,0.170499,0.516546,0.002648,0.076985,-20.669172,1.659876,-0.371239,-0.003429,-0.180734,-0.120633,-0.463143,0.339952,0.317585,0.100044,0.107775,0.029745,0.088456,0.018386,0.008147,0.042274,0.005205,0.007021,0.004952,0.101092,0.001212,0.005478,0.010944,0.037720,0.017579,0.031692,0.000027,-0.000197,0.000423,0.000063,-0.000047,0.000852,0.000016,0.000065,-0.001838,-0.004037,-0.002113,-0.000673,0.001480,0.000617,-0.000072,0.001429,0.002827,0.002581,0.000308,-0.000606,-0.001025,-0.000021,-0.000014,-0.000162,-0.000034,-0.000004,-0.000057,0.000432,-0.000026,0.000003,-0.000287,0.000038,0.000111,0.000073,0.011580,0.025994,0.072441,0.012655,0.014466,0.108615,0.000908,0.024644,0.457719,0.180337,0.226397,0.185532,0.162777,0.174305,0.156036,0.150363,0.147479,0.154935,0.147754,0.154984,0.136264,0.012299,0.007861,0.024262,0.003737,0.003567,0.003231,0.046805,0.001192,0.004891,0.008125,0.021484,0.012968,0.009918,0.012836,0.024136,0.078323,0.013494,0.018338,0.101737,0.001121,0.027014,0.349236,0.222896,0.236183,0.220267,0.204527,0.214140,0.202141,0.201371,0.182872,0.184143,0.161873,0.190980,0.183545,0.014674,0.008470,0.030640,0.004735,0.004639,0.004124,0.057949,0.001574,0.005148,0.008343,0.033896,0.010600,0.011795,chainsaw
0.068897,0.032540,2.808376,0.107934,0.122985,0.615356,0.005528,0.103630,-22.875124,1.014120,-0.844698,-0.969654,-0.323919,0.021916,0.221912,0.263507,-0.115290,-0.264573,-0.215750,0.102473,0.014955,0.010010,0.008239,0.013667,0.016185,0.023043,0.018190,0.011486,0.006876,0.005132,0.005958,0.007871,0.007558,0.012279,-0.000020,0.000240,-0.000109,-0.000164,-0.000446,0.000751,0.000029,0.000018,0.005495,-0.003684,0.001387,-0.001515,-0.001161,0.001065,0.000258,0.000564,0.002118,0.000524,-0.001059,0.000775,0.001147,-0.000117,-0.000012,0.000034,-0.000043,-0.000044,-0.000023,-0.000089,0.000021,-0.000002,-0.000002,-0.000023,-0.000011,-0.000016,0.011875,0.021347,0.257549,0.017375,0.031414,0.185661,0.003140,0.034205,0.811597,0.419336,0.326029,0.294258,0.300146,0.265479,0.261715,0.324142,0.254897,0.286058,0.240995,0.201512,0.180983,0.008193,0.006224,0.010040,0.013561,0.020459,0.017299,0.009621,0.008509,0.006977,0.005356,0.008216,0.008369,0.005387,0.014878,0.022896,0.345516,0.020683,0.038630,0.222445,0.003218,0.041497,0.955783,0.438560,0.364916,0.340462,0.377259,0.285234,0.334993,0.324229,0.275935,0.356635,0.268588,0.254123,0.247888,0.011163,0.008687,0.012657,0.018408,0.027361,0.023225,0.013963,0.012350,0.009073,0.007028,0.011589,0.011032,0.007288,chainsaw
0.124124,0.032530,3.259497,0.185511,0.182349,1.120282,0.002022,0.198126,-22.046710,0.244677,-0.499775,0.274009,0.216096,0.500690,0.041521,-0.004850,0.086056,-0.055832,0.209825,0.351301,-0.023608,0.008550,0.006799,0.031535,0.005678,0.007818,0.004912,0.009906,0.003406,0.006000,0.006624,0.010836,0.004944,0.010170,0.000141,-0.000006,-0.000514,0.000070,0.000030,0.002603,0.000011,0.000272,0.000536,0.000538,-0.000366,-0.002575,-0.001313,-0.000821,-0.003507,-0.002235,0.000868,0.001714,-0.000115,0.000318,-0.001702,0.000024,0.000009,0.000055,0.000002,-0.000003,0.000001,0.000134,0.000014,-0.000019,0.000032,0.000055,-0.000007,0.000030,0.027786,0.005388,0.038617,0.024501,0.015359,0.261399,0.000665,0.090803,0.286211,0.238490,0.219054,0.194263,0.201049,0.204426,0.224488,0.183071,0.194976,0.176947,0.183014,0.164079,0.152612,0.006686,0.006516,0.027149,0.005336,0.004160,0.003851,0.006116,0.002916,0.004040,0.004536,0.008330,0.005299,0.007003,0.033700,0.006750,0.054942,0.028864,0.017417,0.323131,0.000795,0.118866,0.318381,0.229202,0.229549,0.237795,0.236928,0.228009,0.222547,0.222665,0.202048,0.207996,0.212822,0.197082,0.186135,0.007289,0.008156,0.032689,0.006746,0.004570,0.004610,0.008385,0.003807,0.005005,0.005361,0.010503,0.006839,0.008288,chainsaw
0.083301,0.019975,2.903696,0.140241,0.150624,0.885359,0.002928,0.120917,-23.067851,0.678329,-0.315198,-0.444413,0.110913,-0.241775,-0.282432,-0.183085,-0.157474,0.370740,-0.236817,-0.052165,-0.120703,0.007762,0.005043,0.010188,0.007990,0.010418,0.010579,0.011689,0.006883,0.011956,0.018415,0.017024,0.008424,0.009646,-0.000029,-0.000047,-0.001729,-0.000099,0.000004,-0.000680,0.000017,0.000005,-0.004971,0.003446,0.002949,-0.003306,-0.002784,0.000029,0.000429,0.002503,-0.002352,-0.001049,-0.000169,-0.002304,-0.000944,0.000090,0.000045,0.000056,0.000094,0.000001,-0.000211,0.000021,-0.000053,-0.000023,0.000012,0.000025,0.000013,-0.000034,0.014971,0.010137,0.196088,0.012895,0.014981,0.176301,0.001340,0.015972,0.691741,0.517197,0.353032,0.215763,0.203434,0.240132,0.191661,0.216241,0.177226,0.185214,0.187161,0.194255,0.164854,0.006145,0.004178,0.007485,0.005850,0.007929,0.008427,0.006958,0.004514,0.009806,0.018251,0.013165,0.006871,0.005370,0.015050,0.008386,0.263107,0.014194,0.018139,0.178414,0.001298,0.017427,0.636688,0.444795,0.300503,0.257264,0.263137,0.237486,0.228715,0.221222,0.219600,0.223009,0.209928,0.232461,0.204820,0.007585,0.005764,0.010189,0.006888,0.009296,0.010076,0.009218,0.005791,0.011825,0.022675,0.016020,0.009010,0.006916,chainsaw
0.188782,0.017732,3.225420,0.235409,0.181702,2.024011,0.001176,0.330272,-23.380376,-0.591644,-0.499513,-0.527026,-0.067303,0.032445,-0.253384,-0.190843,-0.282307,-0.368957,-0.242556,-0.134431,-0.104243,0.006448,0.004181,0.006939,0.005348,0.004596,0.004818,0.007325,0.003925,0.003278,0.003445,0.005161,0.004258,0.003493,0.000179,-0.000018,0.000104,0.000128,0.000082,0.001309,0.000005,0.000608,0.001126,0.007196,0.003170,-0.000696,-0.003161,-0.006292,-0.004608,0.001346,-0.000771,0.000393,0.000326,-0.001353,-0.000272,-0.000002,0.000018,0.000019,-0.000001,-0.000006,0.000047,-0.000050,0.000000,-0.000022,-0.000006,0.000004,0.000073,-0.000001,0.015297,0.002618,0.058702,0.010964,0.006475,0.130244,0.000189,0.040708,0.293600,0.263714,0.202816,0.196384,0.176429,0.179628,0.168236,0.194526,0.178318,0.163543,0.162878,0.145667,0.141538,0.003996,0.002444,0.004973,0.002985,0.002667,0.002771,0.004432,0.002407,0.002029,0.002083,0.002704,0.003481,0.001662,0.018649,0.003651,0.069686,0.012888,0.007705,0.144038,0.000210,0.048626,0.359220,0.244950,0.233679,0.224148,0.231540,0.223193,0.217246,0.228954,0.213965,0.198638,0.199719,0.192959,0.182785,0.005318,0.003276,0.006806,0.003835,0.003675,0.003505,0.005738,0.003351,0.002865,0.002823,0.003701,0.003763,0.001983,chainsaw
0.116992,0.023951,3.282292,0.140228,0.116635,1.343464,0.001828,0.197854,-22.379744,0.373634,-0.065056,-0.035248,0.570879,0.159859,-0.068538,0.047317,0.089856,0.106503,-0.094012,-0.192074,-0.203454,0.008905,0.005075,0.006937,0.003992,0.007340,0.004244,0.010664,0.004101,0.006165,0.013696,0.022147,0.005785,0.007729,0.000039,-0.000019,0.000250,-0.000012,-0.000028,0.000753,0.000009,-0.000027,0.000199,0.001221,0.002452,-0.000184,0.000319,-0.000860,-0.000275,0.000197,-0.001810,0.000730,-0.000086,0.002166,0.000967,0.000024,0.000027,-0.000003,0.000004,0.000067,0.000029,0.000049,0.000021,0.000020,0.000054,-0.000094,0.000006,-0.000014,0.008922,0.005088,0.017639,0.008390,0.016552,0.076191,0.000302,0.010176,0.262472,0.185923,0.134918,0.164505,0.147992,0.134167,0.154660,0.131863,0.137551,0.144654,0.138871,0.141468,0.148514,0.005889,0.003215,0.003640,0.002010,0.003828,0.002395,0.005327,0.002774,0.004747,0.007981,0.013124,0.004591,0.003081,0.010465,0.003721,0.023181,0.010537,0.021491,0.082368,0.000359,0.011558,0.238121,0.221544,0.181377,0.204669,0.191004,0.175218,0.194090,0.185851,0.192957,0.181432,0.172509,0.168029,0.179478,0.006863,0.004055,0.004425,0.002659,0.004703,0.003061,0.006297,0.003904,0.006268,0.009400,0.013593,0.006135,0.003524,chainsaw
0.181640,0.017723,3.114429,0.222229,0.156514,1.566517,0.003037,0.239773,-28.032827,-0.923743,-0.499504,-0.208653,-0.440519,-0.062658,0.630021,0.179513,-0.318879,-0.005928,0.205475,-0.362285,-0.021429,0.004547,0.001772,0.008415,0.008737,0.005904,0.004864,0.005414,0.001971,0.002392,0.004201,0.003893,0.001114,0.005233,-0.000254,0.000001,-0.001012,-0.000183,-0.000186,-0.001469,0.000009,-0.000222,0.010376,-0.001052,0.000642,0.003179,-0.001266,0.000777,0.000793,-0.000806,0.000233,0.000357,-0.001378,-0.000240,0.000432,-0.000028,-0.000001,-0.000026,0.000017,0.000005,-0.000007,-0.000098,-0.000009,0.000008,0.000154,0.000015,0.000003,0.000010,0.019994,0.007367,0.221958,0.014098,0.014365,0.355499,0.002947,0.027269,1.239255,0.643539,0.375862,0.329946,0.254039,0.185416,0.196949,0.228619,0.208814,0.157469,0.165610,0.172725,0.160248,0.006412,0.001637,0.010535,0.009392,0.005192,0.004381,0.004177,0.001545,0.002133,0.004635,0.004366,0.001029,0.004158,0.018533,0.006745,0.298562,0.015087,0.016293,0.279420,0.003589,0.027798,0.935234,0.580415,0.380669,0.326272,0.274766,0.220005,0.242566,0.254218,0.236381,0.194804,0.182422,0.211500,0.211630,0.006733,0.001990,0.011406,0.008602,0.005963,0.005748,0.004974,0.002063,0.002601,0.004144,0.004428,0.001369,0.004539,chainsaw
0.141268,0.025091,3.127827,0.154453,0.112294,1.416647,0.002249,0.212627,-23.124450,0.020989,0.147738,-0.337957,-0.241142,-0.021416,0.047498,0.158437,0.184613,-0.168487,0.076477,-0.046963,-0.419498,0.006560,0.003850,0.009816,0.005631,0.003188,0.002886,0.004230,0.003749,0.003230,0.006442,0.010559,0.005847,0.004276,-0.000077,-0.000013,-0.001069,-0.000106,0.000038,-0.000138,0.000007,-0.000000,0.007538,0.009035,-0.000633,0.001213,0.001073,-0.000533,-0.000868,-0.001029,0.001512,0.002167,0.002366,0.001389,-0.000230,0.000013,0.000021,-0.000045,0.000000,0.000016,0.000004,0.000025,0.000000,0.000041,0.000028,0.000048,0.000039,-0.000001,0.013780,0.010543,0.201548,0.011375,0.017013,0.131487,0.000398,0.015388,0.764005,0.289164,0.351194,0.244204,0.185256,0.188828,0.161748,0.158128,0.143679,0.147842,0.174001,0.165857,0.170627,0.003824,0.002335,0.004898,0.003995,0.001445,0.001748,0.001816,0.002661,0.001900,0.003615,0.007117,0.003447,0.002158,0.021076,0.016238,0.317228,0.015800,0.022779,0.188967,0.000449,0.021560,1.104488,0.286855,0.532058,0.302407,0.250944,0.247651,0.214742,0.198882,0.193793,0.176617,0.233348,0.204031,0.241407,0.004962,0.003226,0.006117,0.005366,0.002119,0.002549,0.002365,0.003672,0.002582,0.004493,0.009572,0.005168,0.003050,chainsaw
0.146953,0.004722,3.063224,0.190096,0.151326,1.611520,0.001646,0.271084,-26.959238,0.982961,0.129188,0.155351,0.124015,-0.319194,0.100157,-0.272211,0.168726,0.005695,-0.041708,-0.157877,0.029586,0.014687,0.003874,0.012507,0.004979,0.006724,0.006908,0.019554,0.002334,0.008108,0.012210,0.015729,0.004977,0.008702,-0.000088,0.000004,0.000216,-0.000050,-0.000040,0.000004,0.000005,-0.000023,0.000602,-0.000743,0.003327,0.001399,0.001109,-0.000861,0.003682,0.001034,-0.004585,-0.001946,0.001892,0.001823,-0.001710,-0.000176,0.000058,0.000039,0.000063,0.000014,0.000007,-0.000044,-0.000000,0.000003,0.000002,-0.000011,-0.000075,-0.000017,0.017298,0.002427,0.200373,0.013444,0.010517,0.155960,0.000483,0.029600,0.869005,0.460556,0.256827,0.239811,0.201547,0.198613,0.186236,0.160924,0.163621,0.189267,0.163284,0.164803,0.195058,0.010718,0.002152,0.005680,0.003793,0.003896,0.004495,0.009713,0.001339,0.005339,0.007194,0.008951,0.002843,0.002607,0.017858,0.002177,0.311389,0.012967,0.013395,0.161038,0.000586,0.035689,0.894761,0.466219,0.380483,0.304076,0.264782,0.234354,0.263291,0.217281,0.206133,0.238504,0.149323,0.189124,0.232085,0.012997,0.002223,0.007776,0.005101,0.005197,0.005879,0.011588,0.001688,0.007741,0.008906,0.008515,0.003855,0.003221,chainsaw
0.086196,0.002260,3.100511,0.147202,0.170189,0.511143,0.006462,0.136062,-29.338153,1.122833,-1.567299,0.399582,-0.518462,-0.179384,-0.238557,-0.360704,0.086444,-0.191191,0.144912,-0.275024,0.175473,0.009647,0.010916,0.012218,0.009463,0.007630,0.011506,0.015897,0.007665,0.012048,0.011796,0.008702,0.008256,0.010914,0.000628,0.000071,-0.002335,0.000643,0.000114,0.008613,0.000005,0.001620,0.020423,-0.006592,0.005133,0.002390,0.002616,-0.004014,-0.005258,0.001350,-0.001200,-0.001298,0.001922,-0.001644,-0.001490,0.000008,0.000004,0.000082,-0.000033,-0.000102,-0.000017,-0.000032,0.000010,-0.000049,-0.000005,-0.000039,0.000006,-0.000014,0.038283,0.001780,0.211108,0.038642,0.023048,0.375814,0.004257,0.078817,1.906424,0.549595,0.545572,0.468098,0.419569,0.302579,0.310750,0.253390,0.247472,0.204344,0.207774,0.188429,0.179242,0.007814,0.012284,0.010957,0.009599,0.008130,0.013260,0.016887,0.010026,0.013640,0.012385,0.006971,0.007208,0.006785,0.029285,0.001446,0.300117,0.033408,0.027668,0.294577,0.004177,0.070009,1.190934,0.549857,0.406206,0.398823,0.401440,0.311448,0.337376,0.290506,0.281861,0.225865,0.240510,0.247875,0.224502,0.010218,0.016919,0.014001,0.011314,0.011052,0.016595,0.019469,0.013313,0.017095,0.016636,0.008925,0.010079,0.007014,chainsaw
0.106785,0.004026,3.098656,0.174260,0.171952,0.867590,0.007241,0.166447,-30.523296,1.503494,0.009532,0.037719,-0.326850,0.123847,0.024335,-0.162081,0.026959,0.002569,-0.015488,-0.084355,-0.023426,0.011067,0.005563,0.038688,0.015152,0.021956,0.011321,0.043516,0.004083,0.007419,0.011578,0.014854,0.006464,0.024862,-0.000277,-0.000021,0.000044,-0.000277,0.000100,-0.002243,0.000059,-0.000336,-0.022133,0.010948,0.003183,0.000526,0.003730,0.001436,-0.001792,-0.001663,-0.001469,-0.005514,-0.000941,-0.000612,0.002534,-0.000176,-0.000022,0.000033,0.000152,0.001180,-0.000005,-0.000020,-0.000002,-0.000008,-0.000006,-0.000145,-0.000425,0.000200,0.063134,0.004505,0.243008,0.051196,0.021351,0.579683,0.004541,0.116330,2.159569,0.618528,0.635865,0.347621,0.372667,0.301419,0.267582,0.251956,0.229473,0.282870,0.190722,0.196368,0.179559,0.013435,0.007349,0.033477,0.017600,0.022795,0.014638,0.032175,0.006989,0.009961,0.014969,0.015053,0.008063,0.014236,0.055391,0.002143,0.335503,0.044064,0.022986,0.523416,0.005726,0.106512,1.453495,0.692734,0.526168,0.364833,0.402427,0.321934,0.294209,0.269254,0.264761,0.288042,0.265606,0.240323,0.209206,0.016774,0.009013,0.045589,0.022011,0.028291,0.018865,0.043717,0.009002,0.013284,0.020756,0.020288,0.009197,0.016056,chainsaw
0.073017,0.003556,2.978629,0.122876,0.139615,0.714335,0.005026,0.116665,-28.116570,1.336091,0.186580,0.047466,-0.096492,0.136190,0.169285,0.019205,0.157391,0.019729,-0.070111,0.045365,-0.055497,0.012878,0.005539,0.041627,0.014698,0.020250,0.006806,0.048774,0.003006,0.005096,0.011842,0.021852,0.005931,0.021762,0.000025,-0.000018,-0.000111,0.000136,0.000211,0.000577,0.000053,-0.000100,-0.003819,-0.002666,-0.003918,-0.001993,0.008915,-0.001574,-0.004824,0.002131,-0.002163,0.002833,0.000186,0.000485,0.000417,-0.000038,-0.000097,0.000034,-0.000013,0.000051,-0.000088,-0.000113,0.000058,0.000165,0.000029,0.000033,0.000049,-0.000000,0.031621,0.004057,0.265068,0.031842,0.025523,0.422141,0.002583,0.058012,2.014423,0.810177,0.601656,0.348841,0.331666,0.244314,0.283016,0.221219,0.237000,0.194701,0.194426,0.181319,0.166777,0.011630,0.006925,0.036302,0.013866,0.019167,0.006931,0.045596,0.003319,0.004745,0.008973,0.018756,0.005758,0.012663,0.026290,0.003580,0.351263,0.027537,0.031401,0.362991,0.003135,0.053982,1.067197,0.665247,0.458750,0.344161,0.331455,0.271565,0.275743,0.261396,0.272409,0.255224,0.210447,0.194274,0.210754,0.014173,0.008898,0.041909,0.013940,0.018299,0.008366,0.050731,0.003774,0.005795,0.010365,0.021042,0.007497,0.013902,chainsaw
0.077221,0.066181,3.250300,0.145975,0.152127,0.823240,0.002134,0.136438,-21.106971,0.697574,-0.293358,-0.362567,-0.126964,0.486995,0.344033,0.001006,-0.254768,-0.243975,-0.035366,0.044416,0.064806,0.006512,0.005607,0.021082,0.022879,0.020703,0.019047,0.013950,0.005502,0.005941,0.006605,0.007741,0.005281,0.014080,0.000168,-0.000220,-0.000215,-0.000006,-0.000027,0.000731,0.000011,0.000118,-0.000855,0.000479,0.001327,0.000347,0.001553,0.000737,-0.000474,0.000249,0.002711,0.000489,0.001404,0.000533,0.001281,-0.000288,0.000006,0.000023,0.000014,0.000043,-0.000271,-0.000007,0.000004,0.000117,0.000021,-0.000037,0.000030,-0.000074,0.007590,0.009237,0.028814,0.007067,0.011172,0.085044,0.001088,0.012086,0.282990,0.203257,0.150824,0.177033,0.174842,0.191218,0.173846,0.131883,0.156253,0.132044,0.135060,0.149178,0.173371,0.006399,0.005068,0.009879,0.012397,0.015046,0.016808,0.013588,0.005699,0.005471,0.004465,0.003620,0.004242,0.003963,0.008036,0.010323,0.038918,0.008882,0.014418,0.077620,0.001158,0.012484,0.336938,0.211823,0.188900,0.205459,0.202320,0.199952,0.194844,0.176556,0.165522,0.165833,0.164858,0.165833,0.178743,0.004686,0.004379,0.010125,0.011885,0.018148,0.018793,0.012892,0.007752,0.004633,0.005668,0.004006,0.003550,0.005596,chainsaw
0.070490,0.239921,3.257145,0.109444,0.127059,0.795856,0.005059,0.110522,-19.845860,0.095731,-0.487037,-0.505383,0.413142,0.571486,-0.296047,0.014472,-0.198758,0.288262,-0.140609,0.059505,-0.107019,0.002695,0.003794,0.004214,0.003942,0.010248,0.009213,0.015050,0.015282,0.013928,0.017247,0.009426,0.010605,0.013590,-0.000050,0.000065,0.000038,-0.000152,-0.000259,-0.000951,0.000033,-0.000000,0.001465,0.001229,0.001210,-0.001158,0.002482,0.002441,-0.001547,0.000523,0.004211,0.001394,0.001953,-0.000891,0.001623,0.000020,0.000007,0.000044,-0.000058,0.000007,-0.000061,0.000016,-0.000012,-0.000051,0.000019,-0.000001,-0.000004,-0.000013,0.011198,0.024166,0.039701,0.013322,0.024330,0.137885,0.002384,0.009569,0.273086,0.314697,0.303512,0.264276,0.205342,0.167034,0.197442,0.217244,0.198614,0.175799,0.187612,0.156844,0.163557,0.002629,0.003846,0.003841,0.004343,0.009168,0.010252,0.013080,0.016192,0.017934,0.016753,0.009803,0.011080,0.006801,0.008739,0.026099,0.035412,0.015676,0.031958,0.100518,0.002958,0.008798,0.224857,0.244359,0.257023,0.247541,0.228464,0.184137,0.211551,0.228343,0.200152,0.199438,0.211595,0.198992,0.192906,0.002923,0.004660,0.004155,0.005056,0.009391,0.013627,0.015211,0.018681,0.018794,0.016196,0.012976,0.012164,0.007627,chainsaw
